tr|A0A5B9C4N0|A0A5B9C4N0_PYTBI	tr|H3A5N4|H3A5N4_LATCH	80.591	474	91	1	1	473	504	977	0.0	817
tr|T1RLE3|T1RLE3_PYTBI	tr|A1IHG9|A1IHG9_LATCH	77.426	505	114	0	1	505	1	505	0.0	761
tr|T1RLF1|T1RLF1_PYTBI	tr|A1IHG9|A1IHG9_LATCH	77.624	505	113	0	1	505	1	505	0.0	763
tr|T1RLJ9|T1RLJ9_PYTBI	tr|A1IHG9|A1IHG9_LATCH	77.426	505	114	0	1	505	1	505	0.0	761
tr|M9Z9E0|M9Z9E0_PYTBI	tr|A1IHG9|A1IHG9_LATCH	78.448	116	25	0	6	121	118	233	3.58e-49	163
tr|A0A1E1G814|A0A1E1G814_PYTBI	tr|A1IHG9|A1IHG9_LATCH	80.603	232	45	0	2	233	11	242	2.30e-115	340
tr|A0A1E1G7Y4|A0A1E1G7Y4_PYTBI	tr|A1IHG9|A1IHG9_LATCH	80.000	230	46	0	6	235	10	239	4.49e-112	331
tr|A0A4P8NEP3|A0A4P8NEP3_PYTBI	tr|A1IHG9|A1IHG9_LATCH	80.275	218	43	0	1	218	18	235	9.85e-105	311
tr|A0A6M4AIH6|A0A6M4AIH6_PYTBI	tr|A1IHG9|A1IHG9_LATCH	77.586	116	26	0	6	121	118	233	2.71e-48	160
tr|A0A218KFB2|A0A218KFB2_PYTBI	tr|Q9PSF7|Q9PSF7_LATCH	75.610	41	10	0	3	43	178	218	4.59e-05	37.7
tr|R9UCV2|R9UCV2_PYTBI	tr|A1IHG9|A1IHG9_LATCH	77.104	511	117	0	1	511	1	511	0.0	767
tr|U3NKU0|U3NKU0_PYTBI	tr|A1IHG9|A1IHG9_LATCH	77.299	511	116	0	1	511	1	511	0.0	769
tr|A0A5B9CMQ0|A0A5B9CMQ0_PYTBI	sp|O03166|NU2M_LATCH	55.556	180	80	0	12	191	12	191	1.41e-59	190
tr|A0A5B9CNQ2|A0A5B9CNQ2_PYTBI	tr|A1IHH9|A1IHH9_LATCH	66.092	174	59	0	1	174	57	230	3.12e-83	251
tr|R9UE79|R9UE79_PYTBI	sp|O03166|NU2M_LATCH	49.699	332	167	0	12	343	12	343	4.01e-82	253
tr|U3NGQ8|U3NGQ8_PYTBI	sp|O03166|NU2M_LATCH	50.000	332	166	0	12	343	12	343	5.19e-83	255
tr|U3NE49|U3NE49_PYTBI	tr|A1IHH7|A1IHH7_LATCH	54.957	575	247	9	26	588	30	604	0.0	598
